postal_code,municipality,num_municipalities,total_addresses,location_type,location_confidence,validity_status,is_actual_location,error,scraped_successfully
64999,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
65101,,0,666,POST_BOX,0.95,VALID_POST_BOX,True,,True
66101,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
66201,,0,16,POST_BOX,0.95,VALID_POST_BOX,True,,True
66295,,0,295,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
66401,,0,58,POST_BOX,0.95,VALID_POST_BOX,True,,True
66901,,0,86,POST_BOX,0.95,VALID_POST_BOX,True,,True
66999,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
68555,,0,810,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
68601,,0,266,POST_BOX,0.95,VALID_POST_BOX,True,,True
68999,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
70007,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
70101,,0,628,POST_BOX,0.95,VALID_POST_BOX,True,,True
70111,,0,66,POST_BOX,0.95,VALID_POST_BOX,True,,True
71745,,0,76,SETTLEMENT,0.8,VALID_SETTLEMENT,True,,True
71775,,0,286,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
72401,,0,72,POST_BOX,0.95,VALID_POST_BOX,True,,True
73301,,0,20,POST_BOX,0.95,VALID_POST_BOX,True,,True
74595,,0,559,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
77999,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
79101,,0,76,POST_BOX,0.95,VALID_POST_BOX,True,,True
79255,,0,180,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
79265,,0,113,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
79885,,0,131,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
79895,,0,161,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
81235,,0,255,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
81295,,0,244,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
81701,,0,48,POST_BOX,0.95,VALID_POST_BOX,True,,True
82335,,0,758,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
82501,,0,152,POST_BOX,0.95,VALID_POST_BOX,True,,True
82655,,0,316,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
82675,,0,106,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
82685,,0,190,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
82815,,0,194,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
82865,,0,123,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
82967,,0,186,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
83101,,0,76,POST_BOX,0.95,VALID_POST_BOX,True,,True
83825,,0,406,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
83835,,0,255,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
83855,,0,189,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
85101,,0,139,POST_BOX,0.95,VALID_POST_BOX,True,,True
87007,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
88301,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
88615,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
88999,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
89201,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
89999,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
90501,,0,64,POST_BOX,0.95,VALID_POST_BOX,True,,True
90901,,0,82,POST_BOX,0.95,VALID_POST_BOX,True,,True
91501,,0,162,POST_BOX,0.95,VALID_POST_BOX,True,,True
91701,,0,69,POST_BOX,0.95,VALID_POST_BOX,True,,True
92007,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
92101,,0,152,POST_BOX,0.95,VALID_POST_BOX,True,,True
93187,,0,156,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
93225,,0,202,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
93277,,0,196,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
93825,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
93899,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
93999,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
95225,,0,236,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
95255,,0,121,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
95295,,0,0,NO_DATA,0.0,NO_DATA,False,Postal code returned no address data,False
95315,,0,233,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
95325,,0,146,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
95355,,0,346,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
95365,,0,248,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
95375,,0,100,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
95615,,0,135,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
95635,,0,278,SETTLEMENT,0.95,VALID_SETTLEMENT,True,,True
